Date,ALL,EA,EU,ME,NA,SA,SP,WA
12/4/2019,1143,142,224,340,25,86,76,250
12/5/2019,1145,142,224,340,25,86,76,252
12/6/2019,1144,142,224,340,25,86,76,251
12/7/2019,1141,141,224,340,25,85,75,251
12/8/2019,1139,140,224,340,25,85,75,250
12/9/2019,1137,140,224,340,25,85,75,248
12/10/2019,1148,146,226,340,25,85,75,251
12/11/2019,1151,146,226,340,25,85,75,254
12/12/2019,1148,147,225,340,25,85,75,251
12/13/2019,1150,147,224,339,25,86,75,254
12/14/2019,1151,147,223,340,25,86,76,254
12/15/2019,1149,147,223,339,25,86,76,253
12/16/2019,1147,146,223,339,25,86,76,252
12/17/2019,1145,146,223,339,25,86,76,250
12/18/2019,1143,145,225,334,25,86,76,252
12/19/2019,1143,144,227,334,25,86,76,251
12/20/2019,1143,145,227,334,25,86,76,250
12/21/2019,1138,144,224,334,25,85,76,250
12/22/2019,1142,144,224,336,25,85,76,252
12/23/2019,1139,144,222,336,25,85,76,251
12/24/2019,1138,143,222,336,25,85,76,251
12/25/2019,1138,143,222,336,25,85,76,251
12/26/2019,1138,143,222,336,25,85,76,251
12/27/2019,1138,143,222,336,25,85,76,251
12/28/2019,1135,143,219,336,25,85,76,251
12/29/2019,1135,143,219,336,25,85,76,251
12/30/2019,1135,143,219,336,25,85,76,251
12/31/2019,1133,143,219,335,25,85,76,250
1/1/2020,1128,143,218,335,25,85,76,246
1/2/2020,1126,142,218,334,25,85,76,246
1/3/2020,1146,148,220,336,25,86,79,252
1/4/2020,1148,147,222,335,25,86,79,254
1/5/2020,1148,146,224,334,25,86,79,254
1/6/2020,1146,146,224,334,25,86,79,252
1/7/2020,1145,146,224,334,24,86,79,252
1/8/2020,1147,146,223,335,25,88,78,252
1/9/2020,1152,147,223,335,25,89,78,255
1/10/2020,1153,147,225,335,25,89,78,254
1/11/2020,1152,146,225,335,25,89,78,254
1/12/2020,1152,146,225,335,24,89,78,255
1/13/2020,1155,146,225,334,25,91,78,256
1/14/2020,1155,146,225,334,25,91,78,256
1/15/2020,1149,146,226,333,25,91,78,250
1/16/2020,1153,146,226,333,25,92,77,254
1/17/2020,1151,145,227,333,25,92,77,252
1/18/2020,1155,145,227,333,25,93,77,255
1/19/2020,1153,145,227,333,25,92,77,254
1/20/2020,1154,145,227,333,25,92,78,254
1/21/2020,1154,145,227,333,25,92,78,254
1/22/2020,1152,145,227,332,25,92,78,253
1/23/2020,1152,144,227,332,25,92,78,254
1/24/2020,1149,142,228,332,25,92,78,252
1/25/2020,1155,143,228,333,25,93,78,255
1/27/2020,1153,139,230,333,25,93,78,255
1/28/2020,1155,138,230,333,25,93,78,258
1/29/2020,1152,138,230,330,25,93,78,258
1/30/2020,1152,138,230,330,25,93,78,258
1/31/2020,1155,139,230,330,25,93,77,261
2/2/2020,1158,139,231,330,25,93,78,262
2/3/2020,1157,139,232,329,25,93,78,261
2/4/2020,1157,139,232,329,25,93,77,262
2/5/2020,1164,140,232,329,25,95,78,265
2/6/2020,1164,138,232,330,25,95,78,266
2/10/2020,1165,133,232,332,25,96,79,268
2/12/2020,1167,133,232,332,25,96,79,270
2/14/2020,1168,133,232,332,25,96,79,271
2/15/2020,1170,133,233,332,25,96,80,271
2/16/2020,1173,133,233,332,25,96,80,274
2/17/2020,1177,137,233,332,25,96,80,274
2/18/2020,1181,137,233,332,25,96,80,278
2/19/2020,1183,137,232,332,25,98,80,279
2/20/2020,1184,137,232,333,25,98,80,279
2/21/2020,1183,136,232,333,25,98,80,279
2/24/2020,1184,136,232,333,25,98,79,281
2/25/2020,1184,136,232,333,25,98,79,281
2/26/2020,1186,135,233,333,25,98,79,283
2/27/2020,1188,135,233,334,26,98,79,283
2/28/2020,1188,134,234,334,26,98,79,283
3/2/2020,1196,135,234,340,26,98,80,283
3/3/2020,1203,137,235,342,26,98,81,284
3/4/2020,1202,136,235,342,26,98,81,284
3/5/2020,1201,135,235,342,26,98,81,284
3/6/2020,1201,135,235,342,26,98,81,284
3/7/2020,1206,136,236,342,26,98,81,287
3/8/2020,1205,136,236,342,26,97,81,287
3/9/2020,1203,136,235,341,26,97,81,287
3/10/2020,1206,138,235,342,26,97,81,287
3/11/2020,1206,138,235,342,26,97,81,287
3/12/2020,1203,135,235,342,26,97,81,287
3/13/2020,1204,135,235,344,26,97,81,286
3/14/2020,1206,135,235,344,26,97,82,287
3/15/2020,1206,135,235,344,26,97,82,287
3/16/2020,1205,135,235,343,26,97,82,287
3/17/2020,1212,135,239,343,26,97,83,289
3/18/2020,1212,135,240,343,26,97,82,289
3/19/2020,1211,134,240,343,26,97,82,289
3/20/2020,1211,134,240,342,26,97,82,290
3/21/2020,1210,133,240,342,26,97,82,290
3/22/2020,1206,133,236,342,26,97,82,290
3/23/2020,1206,134,235,342,26,97,82,290
3/24/2020,1203,132,233,342,26,97,82,291
3/25/2020,1203,132,233,342,26,97,82,291
3/26/2020,1205,132,233,342,26,97,82,293
3/27/2020,1204,132,233,341,26,97,82,293
3/28/2020,1203,132,233,340,26,97,82,293
