ds,y
12/4/2019,1143
12/5/2019,1145
12/6/2019,1144
12/7/2019,1141
12/8/2019,1139
12/9/2019,1137
12/10/2019,1148
12/11/2019,1151
12/12/2019,1148
12/13/2019,1150
12/14/2019,1151
12/15/2019,1149
12/16/2019,1147
12/17/2019,1145
12/18/2019,1143
12/19/2019,1143
12/20/2019,1143
12/21/2019,1138
12/22/2019,1142
12/23/2019,1139
12/24/2019,1138
12/25/2019,1138
12/26/2019,1138
12/27/2019,1138
12/28/2019,1135
12/29/2019,1135
12/30/2019,1135
12/31/2019,1133
1/1/2020,1128
1/2/2020,1126
1/3/2020,1146
1/4/2020,1148
1/5/2020,1148
1/6/2020,1146
1/7/2020,1145
1/8/2020,1147
1/9/2020,1152
1/10/2020,1153
1/11/2020,1152
1/12/2020,1152
1/13/2020,1155
1/14/2020,1155
1/15/2020,1149
1/16/2020,1153
1/17/2020,1151
1/18/2020,1155
1/19/2020,1153
1/20/2020,1154
1/21/2020,1154
1/22/2020,1152
1/23/2020,1152
1/24/2020,1149
1/25/2020,1155
1/27/2020,1153
1/28/2020,1155
1/29/2020,1152
1/30/2020,1152
1/31/2020,1155
2/2/2020,1158
2/3/2020,1157
2/4/2020,1157
2/5/2020,1164
2/6/2020,1164
2/10/2020,1165
2/12/2020,1167
2/14/2020,1168
2/15/2020,1170
2/16/2020,1173
2/17/2020,1177
2/18/2020,1181
2/19/2020,1183
2/20/2020,1184
2/21/2020,1183
2/24/2020,1184
2/25/2020,1184
2/26/2020,1186
2/27/2020,1188
2/28/2020,1188
3/2/2020,1196
3/3/2020,1203
3/4/2020,1202
3/5/2020,1201
3/6/2020,1201
3/7/2020,1206
3/8/2020,1205
3/9/2020,1203
3/10/2020,1206
3/11/2020,1206
3/12/2020,1203
3/13/2020,1204
3/14/2020,1206
3/15/2020,1206
3/16/2020,1205
3/17/2020,1212
3/18/2020,1212
3/19/2020,1211
3/20/2020,1211
3/21/2020,1210
3/22/2020,1206
3/23/2020,1206
3/24/2020,1203
3/25/2020,1203
3/26/2020,1205
3/27/2020,1204
3/28/2020,1203
3/29/2020,1203
3/30/2020,1202
3/31/2020,1203
4/1/2020,1199
4/2/2020,1195
4/3/2020,1190
4/4/2020,1190
4/5/2020,1184
4/6/2020,1181
4/7/2020,1180
4/8/2020,1174
4/9/2020,1170
4/10/2020,1170
4/11/2020,1171
4/12/2020,1169
4/13/2020,1163
4/14/2020,1159
4/15/2020,1154
4/16/2020,1156
4/17/2020,1156
4/18/2020,1158
4/19/2020,1159
4/20/2020,1155
4/21/2020,1160
4/22/2020,1155
4/23/2020,1155
4/24/2020,1153
4/25/2020,1145
4/26/2020,1142
4/27/2020,1139
4/28/2020,1143
4/29/2020,1141
4/30/2020,1140
5/1/2020,1143
5/2/2020,1143
5/3/2020,1142
5/4/2020,1139
5/5/2020,1141
5/6/2020,1138
5/7/2020,1137
5/8/2020,1139
5/9/2020,1138
5/10/2020,1136
5/11/2020,1142
5/12/2020,1141
5/13/2020,1140
5/14/2020,1139
5/15/2020,1142
5/16/2020,1143
5/17/2020,1148
5/18/2020,1145
5/19/2020,1147
5/21/2020,1146
5/22/2020,1150
5/23/2020,1149
5/24/2020,1152
5/25/2020,1152
5/26/2020,1152
5/27/2020,1155
5/28/2020,1155
5/29/2020,1154
5/30/2020,1151
5/31/2020,1133
6/1/2020,1127
6/2/2020,1123
6/3/2020,1144
6/4/2020,1144
6/5/2020,1141
6/6/2020,1140
6/8/2020,1153
6/9/2020,1154
6/16/2020,1158
6/17/2020,1162
6/18/2020,1160
6/19/2020,1158
6/20/2020,1161
6/21/2020,1159
6/22/2020,1158
6/23/2020,1161
6/24/2020,1163
6/25/2020,1160
6/26/2020,1160
6/27/2020,1159
6/28/2020,1159
6/30/2020,1159
7/5/2020,1152
7/6/2020,1151
7/7/2020,1151
7/12/2020,1149
7/20/2020,1140
7/27/2020,1136
7/29/2020,1139
7/30/2020,1138
8/2/2020,1136
8/3/2020,1141
8/4/2020,1142
8/9/2020,1145
8/10/2020,1145
8/11/2020,1147
8/12/2020,1145
8/13/2020,1144
8/14/2020,1142
8/15/2020,1141
8/16/2020,1141
8/17/2020,1146
8/18/2020,1147
8/19/2020,1145
8/20/2020,1142
8/21/2020,1138
8/22/2020,1136
8/23/2020,1135
8/24/2020,1152
8/25/2020,1156
8/26/2020,1163
8/27/2020,1162
8/28/2020,1159
8/29/2020,1157
8/30/2020,1157
8/31/2020,1159
9/1/2020,1164
9/2/2020,1162
9/3/2020,1160
9/4/2020,1159
9/5/2020,1158
9/6/2020,1153
9/7/2020,1153
9/8/2020,1156
9/9/2020,1158
9/10/2020,1156
9/11/2020,1155
9/12/2020,1154
9/13/2020,1153
9/14/2020,1151
9/15/2020,1161
9/16/2020,1160
9/17/2020,1159
9/18/2020,1167
9/19/2020,1166
9/20/2020,1166
9/21/2020,1166
9/22/2020,1165
9/23/2020,1165
9/24/2020,1164
9/25/2020,1163
9/26/2020,1163
9/27/2020,1164
9/28/2020,1168
9/29/2020,1167
10/2/2020,1161
10/3/2020,1158
10/4/2020,1158
10/5/2020,1156
10/6/2020,1153
10/7/2020,1151
10/8/2020,1150
10/9/2020,1146
10/10/2020,1145
10/11/2020,1139
10/12/2020,1138
10/13/2020,1148
10/14/2020,1147
10/15/2020,1140
10/16/2020,1135
10/17/2020,1132
10/18/2020,1131
10/19/2020,1127
10/20/2020,1128
10/21/2020,1124
10/22/2020,1116
10/23/2020,1114
10/24/2020,1113
10/25/2020,1113
10/26/2020,1112
10/27/2020,1110
10/28/2020,1126
10/29/2020,1124
10/30/2020,1123
10/31/2020,1123
11/1/2020,1122
11/2/2020,1120
11/3/2020,1124
11/4/2020,1132
11/5/2020,1129
11/6/2020,1128
11/7/2020,1127
11/8/2020,1124
11/9/2020,1124
11/10/2020,1125
11/11/2020,1132
11/12/2020,1129
11/13/2020,1125
11/14/2020,1122
11/15/2020,1118
11/16/2020,1117
11/17/2020,1134
11/18/2020,1134
11/19/2020,1133
11/20/2020,1130
11/21/2020,1130
11/22/2020,1130
11/23/2020,1130
11/24/2020,1138
11/25/2020,1137
11/26/2020,1137
11/27/2020,1136
11/28/2020,1134
11/29/2020,1134
11/30/2020,1137
12/1/2020,1140
12/2/2020,1139
12/3/2020,1138
12/4/2020,1137
12/5/2020,1136
12/6/2020,1134
12/7/2020,1131
12/8/2020,1133
12/9/2020,1143
12/10/2020,1143
12/11/2020,1142
12/12/2020,1141
12/13/2020,1139
12/14/2020,1139
12/15/2020,1144
12/16/2020,1144
12/17/2020,1151
12/18/2020,1148
12/19/2020,1147
12/20/2020,1147
12/21/2020,1147
12/22/2020,1151
12/23/2020,1148
12/24/2020,1148
12/25/2020,1148
12/26/2020,1147
12/27/2020,1147
12/28/2020,1147
12/29/2020,1147
12/30/2020,1147
12/31/2020,1154
1/1/2021,1148
1/2/2021,1147
1/3/2021,1144
1/4/2021,1144
1/5/2021,1143
1/6/2021,1142
1/7/2021,1141
1/8/2021,1138
1/9/2021,1132
1/10/2021,1127
1/11/2021,1120
1/12/2021,1120
1/13/2021,1124
1/14/2021,1121
1/15/2021,1117
1/16/2021,1111
1/17/2021,1110
1/18/2021,1109
1/19/2021,1108
1/20/2021,1104
1/21/2021,1100
1/22/2021,1096
1/23/2021,1092
1/25/2021,1092
1/26/2021,1089
1/27/2021,1092
1/28/2021,1089
1/29/2021,1087
1/30/2021,1088
1/31/2021,1091
2/1/2021,1089
2/2/2021,1085
2/3/2021,1082
2/4/2021,1077
2/5/2021,1081
2/6/2021,1080
2/7/2021,1081
2/8/2021,1078
2/9/2021,1075
2/10/2021,1074
2/11/2021,1076
2/12/2021,1081
2/13/2021,1080
2/14/2021,1078
2/15/2021,1072
2/16/2021,1074
2/17/2021,1077
2/18/2021,1079
2/19/2021,1084
2/20/2021,1082
2/21/2021,1081
2/22/2021,1082
2/23/2021,1082
2/24/2021,1083
2/25/2021,1083
2/26/2021,1085
