ds,y
12/4/2019,8335
12/5/2019,8341
12/6/2019,8335
12/7/2019,8324
12/8/2019,8320
12/9/2019,8315
12/10/2019,8329
12/11/2019,8325
12/12/2019,8320
12/13/2019,8329
12/14/2019,8330
12/15/2019,8326
12/16/2019,8320
12/17/2019,8315
12/18/2019,8305
12/19/2019,8296
12/20/2019,8287
12/21/2019,8287
12/22/2019,8280
12/23/2019,8273
12/24/2019,8266
12/25/2019,8262
12/26/2019,8261
12/27/2019,8259
12/28/2019,8253
12/29/2019,8250
12/30/2019,8250
12/31/2019,8249
1/1/2020,8246
1/2/2020,8246
1/3/2020,8261
1/4/2020,8267
1/5/2020,8271
1/6/2020,8267
1/7/2020,8260
1/8/2020,8257
1/9/2020,8254
1/10/2020,8230
1/11/2020,8226
1/12/2020,8215
1/13/2020,8191
1/14/2020,8182
1/15/2020,8174
1/16/2020,8148
1/17/2020,8123
1/18/2020,8100
1/19/2020,8098
1/20/2020,8090
1/21/2020,8083
1/22/2020,8069
1/23/2020,8062
1/24/2020,8065
1/25/2020,8073
1/27/2020,8077
1/28/2020,8058
1/29/2020,8026
1/30/2020,8012
1/31/2020,8037
2/2/2020,8025
2/3/2020,8012
2/4/2020,8007
2/5/2020,8012
2/6/2020,7996
2/10/2020,7985
2/12/2020,7977
2/14/2020,7957
2/15/2020,7959
2/16/2020,7949
2/17/2020,7954
2/18/2020,7984
2/19/2020,7977
2/20/2020,7967
2/21/2020,7974
2/24/2020,7957
2/25/2020,7949
2/26/2020,7950
2/27/2020,7955
2/28/2020,7947
3/2/2020,7950
3/3/2020,7952
3/4/2020,7945
3/5/2020,7942
3/6/2020,7933
3/7/2020,7952
3/8/2020,7941
3/9/2020,7933
3/10/2020,7927
3/11/2020,7927
3/12/2020,7922
3/13/2020,7925
3/14/2020,7922
3/15/2020,7913
3/16/2020,7914
3/17/2020,7910
3/18/2020,7916
3/19/2020,7907
3/20/2020,7901
3/21/2020,7896
3/22/2020,7890
3/23/2020,7910
3/24/2020,7912
3/25/2020,7909
3/26/2020,7902
3/27/2020,7906
3/28/2020,7900
3/29/2020,7895
3/30/2020,7885
3/31/2020,7886
4/1/2020,7884
4/2/2020,7865
4/3/2020,7852
4/4/2020,7823
4/5/2020,7806
4/6/2020,7794
4/7/2020,7785
4/8/2020,7777
4/9/2020,7769
4/10/2020,7768
4/11/2020,7764
4/12/2020,7765
4/13/2020,7752
4/14/2020,7754
4/15/2020,7755
4/16/2020,7756
4/17/2020,7754
4/18/2020,7759
4/19/2020,7758
4/20/2020,7744
4/21/2020,7725
4/22/2020,7711
4/23/2020,7707
4/24/2020,7701
4/25/2020,7686
4/26/2020,7671
4/27/2020,7663
4/28/2020,7687
4/29/2020,7681
4/30/2020,7681
5/1/2020,7683
5/2/2020,7675
5/3/2020,7668
5/4/2020,7658
5/5/2020,7647
5/6/2020,7632
5/7/2020,7620
5/8/2020,7622
5/9/2020,7601
5/10/2020,7584
5/11/2020,7583
5/12/2020,7591
5/13/2020,7577
5/14/2020,7567
5/15/2020,7569
5/16/2020,7561
5/17/2020,7579
5/18/2020,7565
5/19/2020,7564
5/21/2020,7566
5/22/2020,7561
5/23/2020,7557
5/24/2020,7557
5/25/2020,7553
5/26/2020,7552
5/27/2020,7561
5/28/2020,7548
5/29/2020,7548
5/30/2020,7539
5/31/2020,7474
6/1/2020,7461
6/2/2020,7454
6/3/2020,7511
6/4/2020,7497
6/5/2020,7493
6/6/2020,7486
6/8/2020,7497
6/9/2020,7489
6/16/2020,7503
6/17/2020,7505
6/18/2020,7507
6/19/2020,7504
6/20/2020,7516
6/21/2020,7513
6/22/2020,7511
6/23/2020,7518
6/24/2020,7540
6/25/2020,7532
6/26/2020,7523
6/27/2020,7519
6/28/2020,7517
6/30/2020,7519
7/5/2020,7522
7/6/2020,7530
7/7/2020,7524
7/12/2020,7547
7/20/2020,7537
7/27/2020,7509
7/29/2020,7499
7/30/2020,7493
8/2/2020,7495
8/3/2020,7507
8/4/2020,7504
8/9/2020,7501
8/10/2020,7494
8/11/2020,7494
8/12/2020,7496
8/13/2020,7491
8/14/2020,7487
8/15/2020,7485
8/16/2020,7484
8/17/2020,7494
8/18/2020,7505
8/19/2020,7502
8/20/2020,7497
8/21/2020,7491
8/22/2020,7482
8/23/2020,7479
8/24/2020,7549
8/25/2020,7565
8/26/2020,7590
8/27/2020,7587
8/28/2020,7585
8/29/2020,7580
8/30/2020,7570
8/31/2020,7600
9/1/2020,7608
9/2/2020,7608
9/3/2020,7604
9/4/2020,7611
9/5/2020,7609
9/6/2020,7607
9/7/2020,7628
9/8/2020,7644
9/9/2020,7645
9/10/2020,7641
9/11/2020,7637
9/12/2020,7631
9/13/2020,7630
9/14/2020,7623
9/15/2020,7738
9/16/2020,7736
9/17/2020,7733
9/18/2020,7785
9/19/2020,7781
9/20/2020,7798
9/21/2020,7800
9/22/2020,7797
9/23/2020,7797
9/24/2020,7796
9/25/2020,7792
9/26/2020,7790
9/27/2020,7817
9/28/2020,7843
9/29/2020,7842
10/2/2020,7874
10/3/2020,7868
10/4/2020,7861
10/5/2020,7855
10/6/2020,7838
10/7/2020,7828
10/8/2020,7818
10/9/2020,7809
