ds,y
12/4/2019,8340925.22
12/5/2019,8343949.42
12/6/2019,8341627.72
12/7/2019,8340414.54
12/8/2019,8336097.05
12/9/2019,8334729.25
12/10/2019,8341044.35
12/11/2019,8336127.82
12/12/2019,8338598.59
12/13/2019,8340007.15
12/14/2019,8344573.25
12/15/2019,8345788.3
12/16/2019,8351820.24
12/17/2019,8357253.33
12/18/2019,8364132.01
12/19/2019,8363769.41
12/20/2019,8363895.21
12/21/2019,8377256.04
12/22/2019,8380138.38
12/23/2019,8387674.1
12/24/2019,8390797.56
12/25/2019,8389906.24
12/26/2019,8386402.19
12/27/2019,8386402.19
12/28/2019,8386374.55
12/29/2019,8385021.39
12/30/2019,8384554.63
12/31/2019,8381356.66
1/1/2020,8378004.18
1/2/2020,8376719.63
1/3/2020,8419270.16
1/4/2020,8424730.53
1/5/2020,8423437.27
1/6/2020,8422050.58
1/7/2020,8419552.1
1/8/2020,8419552.1
1/9/2020,8424234.43
1/10/2020,8423956.27
1/11/2020,8422875.92
1/12/2020,8423386.04
1/13/2020,8425059.77
1/14/2020,8424207.51
1/15/2020,8423621.98
1/16/2020,8423973.94
1/17/2020,8423276.58
1/18/2020,8422682.49
1/19/2020,8419356
1/20/2020,8414652.66
1/21/2020,8415508.12
1/22/2020,8414649.65
1/23/2020,8415563.94
1/24/2020,8413574.21
1/25/2020,8413030.93
1/27/2020,8400768.71
1/28/2020,8396793.83
1/29/2020,8396338.55
1/30/2020,8395380.42
1/31/2020,8397612.77
2/2/2020,8398212.59
2/3/2020,8399658.94
2/4/2020,8400092.23
2/5/2020,8401246.16
2/6/2020,8401246.16
2/10/2020,8400482.26
2/12/2020,8400482.26
2/14/2020,8395128.11
2/15/2020,8395128.11
2/16/2020,8392863.94
2/17/2020,8389653
2/18/2020,8392664.55
2/19/2020,8393217.43
2/20/2020,8391731.46
2/21/2020,8392086.44
2/24/2020,8378272
2/25/2020,8378603.53
2/26/2020,8374166.48
2/27/2020,8372204.43
2/28/2020,8371752.37
3/2/2020,8371752.37
3/3/2020,8369622.59
3/4/2020,8369496.71
3/5/2020,8364336.71
3/6/2020,8364336.71
3/7/2020,8355248.01
3/8/2020,8352824.17
3/9/2020,8352824.17
3/10/2020,8342363.18
3/11/2020,8337240.58
3/12/2020,8334912.25
3/13/2020,8333680.07
3/14/2020,8334765.14
3/15/2020,8333357.61
3/16/2020,8332293.73
3/17/2020,8324065.77
3/18/2020,8322474.93
3/19/2020,8321993.82
3/20/2020,8319682.72
3/21/2020,8316933.97
3/22/2020,8315736.17
3/23/2020,8319213.21
3/24/2020,8319708.66
3/25/2020,8320119.86
3/26/2020,8318458.53
3/27/2020,8320118.84
3/28/2020,8317118.2
3/29/2020,8312259.95
3/30/2020,8308249.1
3/31/2020,8305534.93
4/1/2020,8303085.64
4/2/2020,8301877.28
4/3/2020,8301109.41
4/4/2020,8298936.37
4/5/2020,8292813.77
4/6/2020,8293350.23
4/7/2020,8293848.29
4/8/2020,8291146.39
4/9/2020,8289919.59
4/10/2020,8287957.9
4/11/2020,8281812.46
4/12/2020,8283534.61
4/13/2020,8283341.9
4/14/2020,8281948.52
4/15/2020,8281198.95
4/16/2020,8282084.41
4/17/2020,8280236.43
4/18/2020,8280205.46
4/19/2020,8278372.81
4/20/2020,8275223.3
4/21/2020,8274758.62
4/22/2020,8272997.21
4/23/2020,8273927.97
4/24/2020,8270229.43
4/25/2020,8262582.28
4/26/2020,8262378.08
4/27/2020,8252772.68
4/28/2020,8249792.64
4/29/2020,8243477.25
4/30/2020,8240423.72
5/1/2020,8241776.57
5/2/2020,8240862.35
5/3/2020,8240707.4
5/4/2020,8238714.06
5/5/2020,8239923.9
5/6/2020,8236045.74
5/7/2020,8233650.65
5/8/2020,8236957.16
5/9/2020,8237445.21
5/10/2020,8232531.96
5/11/2020,8234779.52
5/12/2020,8232432.35
5/13/2020,8234401.66
5/14/2020,8231128.4
5/15/2020,8232034.7
5/16/2020,8229051.24
5/17/2020,8230738.28
5/18/2020,8227769.86
5/19/2020,8228719.43
5/21/2020,8226284.74
5/22/2020,8230973.23
5/23/2020,8229196.46
5/24/2020,8225991.9
5/25/2020,8225289.14
5/26/2020,8219702.34
5/27/2020,8221598.84
5/28/2020,8216181.83
5/29/2020,8203021.76
5/30/2020,8201170.46
5/31/2020,8167744.52
6/1/2020,8159754.56
6/2/2020,8158363.11
6/3/2020,8194526.55
6/4/2020,8189528.06
6/5/2020,8187517.98
6/6/2020,8180072.83
6/8/2020,8179938.59
6/9/2020,8184387.6
6/16/2020,8168163.66
6/17/2020,8166759.45
6/18/2020,8164830.68
6/19/2020,8162701.81
6/20/2020,8167675.25
6/21/2020,8158973.47
6/22/2020,8154516.87
6/23/2020,8158268.04
6/24/2020,8155492.99
6/25/2020,8153632.91
6/26/2020,8150056.11
6/27/2020,8147547.31
6/28/2020,8144200.55
6/30/2020,8144200.55
7/5/2020,8138520.22
7/6/2020,8138118.23
7/7/2020,8139686.84
7/12/2020,8136372.66
7/20/2020,8118148.69
7/27/2020,8076147.64
7/29/2020,8072958.46
7/30/2020,8069288.65
8/2/2020,8069230.48
8/3/2020,8068350.81
8/4/2020,8068752.3
8/9/2020,8076204.31
8/10/2020,8074354.49
8/11/2020,8067303.84
8/12/2020,8068632.23
8/13/2020,8068488.86
8/14/2020,8066022.81
8/15/2020,8065455.76
8/16/2020,8061187.23
8/17/2020,8063047.62
8/18/2020,8061906.15
8/19/2020,8059424.14
8/20/2020,8051656.83
8/21/2020,8044154.03
8/22/2020,8041332.42
8/23/2020,8036873.92
8/24/2020,8043444.49
8/25/2020,8039440.32
8/26/2020,8043700.96
8/27/2020,8031227.89
8/28/2020,8026460.68
8/29/2020,8017049.91
8/30/2020,8012111.4
8/31/2020,8019651.74
9/1/2020,8013118.14
9/2/2020,8009071.03
9/3/2020,8001539.01
9/4/2020,8000603.32
9/5/2020,7988947.94
9/6/2020,7977706.01
9/7/2020,7974034.53
9/8/2020,7967054.1
9/9/2020,7964776.72
9/10/2020,7958554.81
9/11/2020,7954600.11
9/12/2020,7948716.09
9/13/2020,7938594.49
9/14/2020,7932388.72
9/15/2020,7951169.61
9/16/2020,7944587.22
9/17/2020,7941873.2
9/18/2020,7983633.68
9/19/2020,7981311.84
9/20/2020,7981700.36
9/21/2020,7977975.47
9/22/2020,7973944.38
9/23/2020,7971649.98
9/24/2020,7969756.84
9/25/2020,7966181.83
9/26/2020,7962399.57
9/27/2020,7962399.57
9/28/2020,7966189.46
9/29/2020,7961316.68
10/2/2020,7945410.8
10/3/2020,7938910.84
10/4/2020,7937387.34
10/5/2020,7932242.75
10/6/2020,7926054.17
10/7/2020,7910615.8
10/8/2020,7899961.73
